Sample Size,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,R2,Implied Contamination,Total Time (s)
30000,One-Class SVM,0.9984333333333333,0.0,0.0,0.0,0.9795505866993042,-0.001569124962440993,0.0,13.459309339523315
30000,One-Class SVM (SGD),0.9982333333333333,0.0,0.0,0.0,0.01846154720409492,-0.12942901325551848,0.0002,0.023226499557495117
30000,Isolation Forest,0.9491666666666667,0.026282051282051282,0.8723404255319149,0.05102675793403858,0.9809261459975237,-31.497721607823884,0.052,0.24096035957336426
30000,Local Outlier Factor,0.9436,0.0065986802639472104,0.23404255319148937,0.012835472578763127,0.769618501609969,-35.05648849864787,0.05556666666666667,3.364295721054077
30000,Robust Covariance,0.5884666666666667,0.0035521110842011787,0.9361702127659575,0.00707736850571015,0.9388680564089413,-262.0930301443893,0.4129,2.432925224304199
30000,Autoencoder (GPU),0.9489666666666666,0.026785714285714284,0.8936170212765957,0.05201238390092879,0.9717919776444087,-31.625581496116965,0.05226666666666667,1.9419810771942139
30000,Logistic Regression,0.9866666666666667,0.0859375,0.7857142857142857,0.15492957746478872,0.9208133286699947,-7.584782677816282,0.014222222222222223,0.06273245811462402
80000,One-Class SVM,0.9929125,0.10144927536231885,0.4409448818897638,0.16494845360824742,0.9634500478170513,-3.4716656984301153,0.0069,138.7766215801239
80000,One-Class SVM (SGD),0.9934875,0.0,0.0,0.0,0.05041201726638676,-3.1088850597567728,0.004925,0.09932088851928711
80000,Isolation Forest,0.9560125,0.029672767609539658,0.84251968503937,0.05732654701312617,0.9611903581975757,-26.752718858510715,0.045075,0.6488115787506104
80000,Local Outlier Factor,0.927675,0.004379050621825188,0.1968503937007874,0.008567511994516792,0.5480694697320185,-44.631495116607844,0.0713625,6.9822564125061035
80000,Robust Covariance,0.6108375,0.003776966903527303,0.9291338582677166,0.007523351079090822,0.8882391150281782,-244.531513561243,0.390525,7.987857103347778
80000,Autoencoder (GPU),0.9254875,0.018169805087545423,0.8661417322834646,0.03559294612522246,0.952290797073425,-46.01163885069121,0.075675,2.7093586921691895
80000,Logistic Regression,0.9730416666666667,0.05154639175257732,0.9210526315789473,0.09762900976290098,0.9606399826040353,-16.053316874525013,0.028291666666666666,0.21978521347045898
150000,One-Class SVM,0.98868,0.0911664779161948,0.6338582677165354,0.1594059405940594,0.9470193937850244,-5.696378571125845,0.011773333333333334,458.68548107147217
150000,One-Class SVM (SGD),0.9924733333333333,0.007874015748031496,0.027559055118110236,0.012248468941382326,0.13894430789943413,-3.4524213232044048,0.005926666666666667,0.18427586555480957
150000,Isolation Forest,0.9544466666666667,0.030540887683744827,0.84251968503937,0.05894504889133728,0.9488520508901634,-25.94720540430088,0.046713333333333336,1.1998004913330078
150000,Local Outlier Factor,0.92262,0.0034986442753433046,0.15748031496062992,0.006845212629417301,0.505226619437786,-44.77436164608815,0.07622,24.69624352455139
150000,Robust Covariance,0.58562,0.0037517435987878983,0.9212598425196851,0.007473053892215569,0.9250478316510972,-244.12768129886285,0.41580666666666666,16.055059909820557
150000,Autoencoder (GPU),0.8903533333333333,0.01305106152643291,0.8543307086614174,0.025709377406551746,0.9325376272325074,-63.86180115389091,0.11084666666666666,5.430269718170166
150000,Logistic Regression,0.9664666666666667,0.04507936507936508,0.9342105263157895,0.08600847970926712,0.9803469250992319,-18.88885322111262,0.035,0.33576416969299316
230000,One-Class SVM,0.9872521739130434,0.08602150537634409,0.6751918158567775,0.15260115606936417,0.9430254216556002,-6.511490761916742,0.013343478260869564,1124.670776605606
230000,One-Class SVM (SGD),0.9966782608695652,0.06928406466512702,0.07672634271099744,0.07281553398058252,0.3667668707435354,-0.9572915900765318,0.001882608695652174,0.46230149269104004
230000,Isolation Forest,0.9505565217391304,0.028267033250279235,0.8414322250639387,0.054696591853699086,0.9467261474496637,-28.133926652290995,0.05060434782608696,2.1808042526245117
230000,Local Outlier Factor,0.9214434782608696,0.003259708874276401,0.1483375959079284,0.0063792344918609765,0.5098949544148326,-45.28840896531777,0.07736086956521739,63.471250772476196
230000,Robust Covariance,0.5724913043478261,0.0036188545362392296,0.9130434782608695,0.007209135610504741,0.9191267097800275,-250.90394002284705,0.42891304347826087,31.0315363407135
230000,Autoencoder (GPU),0.9147260869565217,0.01645200241497283,0.8363171355498721,0.03226920609858391,0.9432498273864189,-49.246544445250024,0.08641739130434782,7.79660177230835
230000,Logistic Regression,0.9719855072463768,0.051826258637709774,0.8974358974358975,0.09799346710219319,0.9770360642491647,-15.54942959764178,0.029362318840579712,0.6672580242156982
